"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
79.8,3.5,"PSME",38.608,0.117069695970686,"a0114",1,"single",7,345.687509145987
186.4,4.7,"PSME",24.892,0.0486641862925237,"c0053",7,"5-9 trees",10,171.275667090396
161.6,5.1,"PSME",60.96,0.291863507960159,"a0093",1,"single",12,717.913191263035
185.7,5.2,"POTR",11.176,0.00980985679532756,"c0053",7,"5-9 trees",15,47.5617941542204
175.2,6.6,"PIPO",2.794,0.000613116049707972,"b0162",4,"2-4 trees",21,5.17561833654136
186.5,7.7,"POTR",11.176,0.00980985679532756,"c0053",7,"5-9 trees",30,47.5617941542204
184.8,8,"PIEN",40.894,0.131343645656862,"c0053",7,"5-9 trees",32,379.014083807285
189.9,8.6,"PIPU",5.842,0.00268048256442576,"c0053",7,"5-9 trees",35,16.8460654712927
174.1,9.7,"PIEN",14.478,0.0164629259958777,"b0162",4,"2-4 trees",40,71.9670524479585
70.4,10.5,"PIEN",47.244,0.17530051946857,"c0068",8,"5-9 trees",42,477.479419658041
158.5,10.5,"POTR",9.652,0.00731685599816787,"c0059",8,"5-9 trees",43,37.6173069764342
109,10.7,"PSME",11.684,0.0107219302577031,"c0035",6,"5-9 trees",45,51.0677210307142
159.1,11.2,"POTR",18.796,0.027747301555379,"c0059",8,"5-9 trees",48,109.270944796459
111.7,11.3,"POTR",11.684,0.0107219302577031,"c0035",6,"5-9 trees",51,51.0677210307142
50.6,11.5,"PSME",11.176,0.00980985679532756,"a0160",1,"single",54,47.5617941542204
60.7,12,"PIPO",19.05,0.0285022956992343,"d0019",14,"10-15 trees",61,111.643120811234
162.7,12,"PIPO",40.132,0.126494455081899,"c0059",8,"5-9 trees",62,367.777609580717
186.1,12,"POTR",10.668,0.00893831993127986,"c0053",7,"5-9 trees",63,44.15021382169
73.2,12.2,"PIEN",1.016,8.10731966555997e-05,"c0068",8,"5-9 trees",65,1.02572261931283
72.6,12.4,"PIEN",14.224,0.0158903465444975,"c0068",8,"5-9 trees",69,69.9575819362394
105.8,12.4,"PIEN",13.462,0.0142334130878487,"c0035",6,"5-9 trees",70,64.0582895158179
63.2,12.6,"PIPU",17.78,0.0248286664757774,"d0019",14,"10-15 trees",72,99.9748613751942
69.2,12.8,"POTR",21.082,0.0349070782350266,"c0068",8,"5-9 trees",75,131.298236918595
188.2,12.9,"PIFL2",10.414,0.00851775272362894,"c0053",7,"5-9 trees",76,42.4803530379405
30.2,13.1,"PIEN",20.828,0.0340710108945157,"b0145",2,"2-4 trees",79,128.776349701634
59.9,13.1,"PIEN",12.7,0.0126676869774374,"d0019",14,"10-15 trees",80,58.3560588423466
108.1,13.5,"PIPO",24.384,0.0466981612736254,"c0035",6,"5-9 trees",81,165.717326957557
163.3,13.5,"PIEN",11.684,0.0107219302577031,"c0059",8,"5-9 trees",83,51.0677210307142
42,13.6,"PIPO",6.858,0.00369389752262076,"b0167",4,"2-4 trees",84,21.7728845249142
30.2,13.8,"POTR",24.892,0.0486641862925237,"b0145",2,"2-4 trees",85,171.275667090396
43.8,13.8,"PIEN",3.048,0.000729658769900397,"b0167",4,"2-4 trees",86,5.94872565220784
74.3,13.9,"PIPU",8.382,0.00551804444737175,"c0068",8,"5-9 trees",89,30.0162373188641
57.2,14,"PIEN",10.16,0.00810731966555996,"d0019",14,"10-15 trees",92,40.8347529747354
63,14.1,"PIEN",23.114,0.0419604463440638,"d0019",14,"10-15 trees",93,152.124853956649
163.8,14.1,"PIEN",8.382,0.00551804444737175,"c0059",8,"5-9 trees",94,30.0162373188641
177.8,14.2,"PIPO",8.128,0.00518868458595838,"b0162",4,"2-4 trees",97,28.5741889289076
70.3,14.4,"PIEN",3.302,0.000856335639674771,"c0068",8,"5-9 trees",99,6.76150401542223
76.2,14.4,"PIEN",3.302,0.000856335639674771,"c0068",8,"5-9 trees",100,6.76150401542223
175.7,14.6,"PIEN",16.002,0.0201112198453797,"b0162",4,"2-4 trees",106,84.4653966240764
56.3,14.8,"PIPU",6.858,0.00369389752262076,"d0019",14,"10-15 trees",108,21.7728845249142
198.4,14.9,"PIPO",28.702,0.0647014780059595,"b0166",4,"2-4 trees",111,215.109433315022
56.3,15,"PIPO",14.986,0.0176384873473839,"d0019",14,"10-15 trees",112,76.0496404670287
63,15.1,"PIPO",5.08,0.00202682991638999,"d0019",14,"10-15 trees",114,13.4704448961551
109.7,15.1,"POTR",16.51,0.0214083909918693,"c0035",6,"5-9 trees",116,88.7963914804711
59.8,15.2,"PIPO",43.18,0.146438461459177,"d0019",14,"10-15 trees",118,413.477822801311
196.3,15.5,"PIFL2",6.096,0.00291863507960159,"b0166",4,"2-4 trees",125,18.0331640413536
125.8,15.6,"PIPU",12.954,0.0131794615313259,"a0201",1,"single",126,60.2346274174601
70.6,15.8,"PIFL2",1.524,0.000182414692475099,"c0068",8,"5-9 trees",128,1.96234763927647
163.6,15.8,"POTR",26.416,0.0548054809391854,"c0059",8,"5-9 trees",129,188.359396139355
108.6,16,"PIEN",16.256,0.0207547383438335,"c0035",6,"5-9 trees",132,86.6207430682866
164,16.1,"POTR",10.668,0.00893831993127986,"c0059",8,"5-9 trees",134,44.15021382169
35.5,16.9,"PSME",15.24,0.0182414692475099,"b0110",3,"2-4 trees",149,78.1224666314692
163.5,17.2,"PIEN",13.97,0.0153279012426993,"c0059",8,"5-9 trees",154,67.9695273295393
198,17.3,"PIPO",30.226,0.0717548461149966,"b0166",4,"2-4 trees",156,233.673296227583
63.8,17.4,"POTR",11.938,0.0111931682132637,"d0019",14,"10-15 trees",158,52.8555406234571
43.5,17.5,"PIEN",40.894,0.131343645656862,"b0167",4,"2-4 trees",161,379.014083807285
36.8,17.6,"PIPO",19.558,0.0300426864356906,"b0110",3,"2-4 trees",162,116.444533906343
57.8,17.6,"POTR",20.828,0.0340710108945157,"d0019",14,"10-15 trees",163,128.776349701634
155.9,17.6,"PSME",6.858,0.00369389752262076,"d0020",14,"10-15 trees",165,21.7728845249142
64.1,17.7,"PIEN",14.224,0.0158903465444975,"d0019",14,"10-15 trees",166,69.9575819362394
62.7,17.9,"PSME",13.716,0.014775590090483,"d0019",14,"10-15 trees",169,66.0030435502607
148.9,17.9,"PIEN",1.778,0.000248286664757774,"d0020",14,"10-15 trees",171,2.51125497780401
148.9,18,"PIEN",3.048,0.000729658769900397,"d0020",14,"10-15 trees",175,5.94872565220784
99.4,18.1,"PSME",33.528,0.088288711157948,"a0179",1,"single",177,275.836819451038
43.7,18.3,"PSME",33.528,0.088288711157948,"b0167",4,"2-4 trees",183,275.836819451038
198.3,18.8,"POTR",14.732,0.0170456395968398,"b0166",4,"2-4 trees",197,73.9977877681652
35.7,18.9,"PIEN",11.176,0.00980985679532756,"b0110",3,"2-4 trees",198,47.5617941542204
171,19,"PIEN",12.954,0.0131794615313259,"c0034",9,"5-9 trees",204,60.2346274174601
150.2,19.1,"PIPO",21.844,0.0374760851540509,"d0020",14,"10-15 trees",207,138.973331479546
146.2,19.3,"PIFL2",11.176,0.00980985679532756,"d0020",14,"10-15 trees",212,47.5617941542204
149.3,19.5,"POTR",11.43,0.0102608264517243,"d0020",14,"10-15 trees",215,49.3030706693208
62.6,20.2,"PIEN",3.556,0.000993146659031096,"d0019",14,"10-15 trees",229,7.61270154517849
135.6,20.3,"PSME",24.13,0.0457303499885492,"b0111",3,"2-4 trees",231,162.964014650622
149.3,20.6,"PIPU",2.794,0.000613116049707972,"d0020",14,"10-15 trees",238,5.17561833654136
168.1,21.1,"POTR",17.018,0.0227460987366867,"c0034",9,"5-9 trees",252,93.2080947894287
148,21.2,"POTR",30.48,0.0729658769900397,"d0020",14,"10-15 trees",256,236.823033779947
120.3,21.4,"PIEN",2.286,0.000410433058068973,"b0109",2,"2-4 trees",263,3.75423938681759
153.7,21.4,"PIPU",19.558,0.0300426864356906,"d0020",14,"10-15 trees",265,116.444533906343
171.6,21.4,"PIEN",5.842,0.00268048256442576,"c0034",9,"5-9 trees",266,16.8460654712927
173.6,21.4,"PIEN",1.778,0.000248286664757774,"c0034",9,"5-9 trees",267,2.51125497780401
146.7,21.5,"PSME",34.544,0.0937206153338732,"d0020",14,"10-15 trees",269,289.331820715259
137.1,21.6,"PIEN",2.032,0.000324292786622399,"b0111",3,"2-4 trees",270,3.1094095334738
