"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
180.8,2.2,"PIPU",14.478,0.0164629259958777,"a0278",1,"single",2,71.9670524479585
192.6,2.3,"PIEN",19.05,0.0285022956992343,"a0220",1,"single",3,111.643120811234
154.8,3.1,"PIFL2",18.034,0.0255431240213049,"a0141",1,"single",4,102.269775958013
186.4,4.7,"PSME",24.892,0.0486641862925237,"a0174",1,"single",10,171.275667090396
161.6,5.1,"PSME",60.96,0.291863507960159,"a0094",1,"single",12,717.913191263035
58.5,5.2,"PSME",20.828,0.0340710108945157,"a0293",1,"single",14,128.776349701634
121.1,5.7,"PIEN",10.16,0.00810731966555996,"a0224",1,"single",17,40.8347529747354
8,6.9,"PSME",44.45,0.155179165473609,"a0291",1,"single",24,433.106622546041
113.3,8,"PSME",25.4,0.0506707479097498,"a0303",1,"single",31,176.902490287201
159.1,11.2,"POTR",18.796,0.027747301555379,"a0242",1,"single",48,109.270944796459
193.7,11.2,"PIEN",2.286,0.000410433058068973,"b0097",3,"2-4 trees",49,3.75423938681759
132.9,11.6,"POTR",11.43,0.0102608264517243,"a0282",1,"single",56,49.3030706693208
196.1,11.6,"PIEN",1.27,0.000126676869774374,"b0097",3,"2-4 trees",57,1.46583792402465
192.8,11.8,"PIPO",27.686,0.0602019155915737,"b0097",3,"2-4 trees",60,203.056241506231
94.7,12.2,"PIEN",33.274,0.0869560704879216,"a0298",1,"single",66,272.500949358077
146.8,12.5,"PIPO",19.812,0.0308280830282918,"a0143",1,"single",71,118.873571451574
34.6,13,"POTR",15.494,0.0188545852972179,"a0226",1,"single",77,80.2161257237514
74.3,13.9,"PIPU",8.382,0.00551804444737175,"d0008",14,"10-15 trees",89,30.0162373188641
63,14.1,"PIEN",23.114,0.0419604463440638,"a0160",1,"single",93,152.124853956649
76.2,14.4,"PIEN",3.302,0.000856335639674771,"d0008",14,"10-15 trees",100,6.76150401542223
182.8,14.8,"PSME",20.32,0.0324292786622399,"b0084",4,"2-4 trees",109,123.787823146332
26.4,15.5,"PSME",43.434,0.148166333962899,"b0076",4,"2-4 trees",123,417.376240857167
125.8,15.6,"PIPU",12.954,0.0131794615313259,"b0130",4,"2-4 trees",126,60.2346274174601
26.3,15.7,"POTR",14.732,0.0170456395968398,"b0076",4,"2-4 trees",127,73.9977877681652
70.6,15.8,"PIFL2",1.524,0.000182414692475099,"d0008",14,"10-15 trees",128,1.96234763927647
27.2,16.1,"POTR",7.366,0.00426140989920996,"b0076",4,"2-4 trees",133,24.4101665849469
180.3,16.4,"PIPO",32.766,0.0843211915966146,"b0084",4,"2-4 trees",141,265.874987853903
103.6,16.8,"PIEN",17.272,0.0234301538334683,"c0046",9,"5-9 trees",148,95.4439065680274
25.4,17.2,"PIEN",16.256,0.0207547383438335,"b0076",4,"2-4 trees",153,86.6207430682866
68.9,17.8,"PIPO",14.986,0.0176384873473839,"d0008",14,"10-15 trees",167,76.0496404670287
99.4,18.1,"PSME",33.528,0.088288711157948,"c0046",9,"5-9 trees",177,275.836819451038
69,18.2,"PSME",49.53,0.192675518926824,"d0008",14,"10-15 trees",181,514.978768994335
52.6,18.4,"PIPO",43.688,0.149904340616204,"a0142",1,"single",185,421.288361653377
100.6,18.4,"PSME",1.27,0.000126676869774374,"c0046",9,"5-9 trees",186,1.46583792402465
188.4,18.7,"PIEN",11.938,0.0111931682132637,"a0165",1,"single",193,52.8555406234571
107.1,18.8,"PSME",27.686,0.0602019155915737,"c0046",9,"5-9 trees",196,203.056241506231
162.5,19,"PIEN",13.97,0.0153279012426993,"a0163",1,"single",203,67.9695273295393
89,19.1,"PSME",9.144,0.00656692892910357,"a0138",1,"single",206,34.4999088632196
180.3,19.2,"PIEN",38.354,0.11553437230902,"b0084",4,"2-4 trees",210,342.05588144814
179.1,19.4,"PIEN",7.874,0.00486945887412695,"b0084",4,"2-4 trees",213,27.1589300622175
71.8,19.6,"PIEN",17.018,0.0227460987366867,"d0008",14,"10-15 trees",217,93.2080947894287
139.6,19.8,"PIPO",2.54,0.000506707479097498,"c0026",5,"5-9 trees",221,4.44358965052675
75.5,20.1,"PIPU",23.114,0.0419604463440638,"d0008",14,"10-15 trees",223,152.124853956649
76.5,20.1,"PIPU",49.53,0.192675518926824,"d0008",14,"10-15 trees",224,514.978768994335
117.6,20.3,"PIPO",40.132,0.126494455081899,"b0064",4,"2-4 trees",230,367.777609580717
135.6,20.3,"PSME",24.13,0.0457303499885492,"c0026",5,"5-9 trees",231,162.964014650622
80.1,20.7,"PIEN",32.258,0.0817268493036354,"d0008",14,"10-15 trees",239,259.310379117382
104.2,20.7,"PIEN",2.54,0.000506707479097498,"c0046",9,"5-9 trees",240,4.44358965052675
98.6,21,"PSME",16.764,0.022072177789487,"c0046",9,"5-9 trees",246,90.9922163370198
78.4,21.2,"PIPU",19.812,0.0308280830282918,"d0008",14,"10-15 trees",253,118.873571451574
103.6,21.2,"PIPU",11.938,0.0111931682132637,"c0046",9,"5-9 trees",254,52.8555406234571
117.6,21.2,"PIEN",24.892,0.0486641862925237,"b0064",4,"2-4 trees",255,171.275667090396
45.7,21.4,"PIEN",33.782,0.0896314859775564,"a0234",1,"single",262,279.18788720561
120.3,21.4,"PIEN",2.286,0.000410433058068973,"b0064",4,"2-4 trees",263,3.75423938681759
126.4,21.5,"PIEN",39.624,0.123312332113167,"b0130",4,"2-4 trees",268,360.357283138818
137.1,21.6,"PIEN",2.032,0.000324292786622399,"c0026",5,"5-9 trees",270,3.1094095334738
69.2,21.7,"PIPO",34.544,0.0937206153338732,"d0008",14,"10-15 trees",274,289.331820715259
36.9,22,"PIPO",25.4,0.0506707479097498,"b0090",2,"2-4 trees",285,176.902490287201
73.3,22,"PIEN",10.922,0.00936902128851274,"d0008",14,"10-15 trees",286,45.8441025684311
196.7,22,"PIPO",2.286,0.000410433058068973,"b0113",2,"2-4 trees",287,3.75423938681759
