"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
118.9,150.3,"PIPO",30.734,0.0741870420146647,"e0007",23,"16-25 trees",3382,239.98855958573
125,150.6,"PIEN",24.13,0.0457303499885492,"e0007",23,"16-25 trees",3390,162.964014650622
114.9,150.7,"PIEN",8.128,0.00518868458595838,"e0007",23,"16-25 trees",3392,28.5741889289076
73.2,150.8,"PIPO",11.176,0.00980985679532756,"e0001",20,"16-25 trees",3393,47.5617941542204
116.2,150.9,"PIPO",5.842,0.00268048256442576,"e0007",23,"16-25 trees",3394,16.8460654712927
125.1,150.9,"POTR",12.192,0.0116745403184063,"e0007",23,"16-25 trees",3395,54.6663309681585
75.9,151,"PIEN",19.558,0.0300426864356906,"e0001",20,"16-25 trees",3396,116.444533906343
118.2,151.5,"PSME",48.26,0.182921399954197,"e0007",23,"16-25 trees",3402,494.014513501981
178.9,151.5,"PIEN",8.89,0.00620716661894435,"d0010",15,"10-15 trees",3403,32.9794051157481
176.9,152.1,"PIEN",2.286,0.000410433058068973,"d0010",15,"10-15 trees",3413,3.75423938681759
179.9,152.1,"PIEN",2.286,0.000410433058068973,"d0010",15,"10-15 trees",3414,3.75423938681759
76.1,152.3,"PIPU",3.302,0.000856335639674771,"e0001",20,"16-25 trees",3416,6.76150401542223
31.3,153,"PIFL2",6.858,0.00369389752262076,"c0073",5,"5-9 trees",3430,21.7728845249142
36.1,153,"PIEN",2.54,0.000506707479097498,"c0073",5,"5-9 trees",3431,4.44358965052675
70,153.2,"PIFL2",10.16,0.00810731966555996,"e0001",20,"16-25 trees",3435,40.8347529747354
105,153.2,"POTR",11.684,0.0107219302577031,"b0164",4,"2-4 trees",3437,51.0677210307142
86.9,153.3,"PIPO",24.638,0.0476761067082836,"c0076",5,"5-9 trees",3443,168.487901573462
137.2,153.3,"POTR",10.414,0.00851775272362894,"c0041",5,"5-9 trees",3444,42.4803530379405
175.1,153.3,"PIEN",29.464,0.0681825583873593,"d0010",15,"10-15 trees",3447,224.319345610657
179.2,153.3,"PSME",10.668,0.00893831993127986,"d0010",15,"10-15 trees",3448,44.15021382169
106.2,153.5,"PIEN",32.512,0.083018953375334,"b0164",4,"2-4 trees",3450,262.584990544085
106.3,153.5,"PIPO",22.352,0.0392394271813102,"b0164",4,"2-4 trees",3451,144.180398665019
90.4,153.7,"PIEN",5.08,0.00202682991638999,"c0076",5,"5-9 trees",3452,13.4704448961551
119.2,153.7,"PIEN",27.686,0.0602019155915737,"e0007",23,"16-25 trees",3453,203.056241506231
140.3,153.7,"PIEN",2.286,0.000410433058068973,"c0041",5,"5-9 trees",3454,3.75423938681759
36,153.8,"PIPO",7.62,0.00456036731187748,"c0073",5,"5-9 trees",3458,25.7708031823288
119.6,153.8,"PSME",8.382,0.00551804444737175,"e0007",23,"16-25 trees",3459,30.0162373188641
70.5,154,"PIEN",4.572,0.00164173223227589,"e0001",20,"16-25 trees",3461,11.3807256664905
89.2,154.1,"PIEN",23.876,0.0447726728530549,"c0076",5,"5-9 trees",3464,160.228037109675
34,154.3,"PIFL2",30.48,0.0729658769900397,"c0073",5,"5-9 trees",3468,236.823033779947
71.1,154.4,"POTR",13.462,0.0142334130878487,"e0001",20,"16-25 trees",3470,64.0582895158179
125.1,154.4,"PIPU",15.494,0.0188545852972179,"e0007",23,"16-25 trees",3471,80.2161257237514
74.6,154.6,"PSME",8.89,0.00620716661894435,"e0001",20,"16-25 trees",3476,32.9794051157481
179.9,154.6,"PIEN",14.986,0.0176384873473839,"d0010",15,"10-15 trees",3478,76.0496404670287
160.5,154.8,"PIPU",3.302,0.000856335639674771,"c0056",6,"5-9 trees",3482,6.76150401542223
87.2,154.9,"PIEN",30.734,0.0741870420146647,"c0076",5,"5-9 trees",3484,239.98855958573
162.4,154.9,"PIEN",3.81,0.00114009182796937,"c0056",6,"5-9 trees",3485,8.50119466651352
182.9,155,"PSME",25.4,0.0506707479097498,"d0010",15,"10-15 trees",3486,176.902490287201
121.1,155.1,"PIEN",7.62,0.00456036731187748,"e0007",23,"16-25 trees",3487,25.7708031823288
148.7,155.2,"PSME",16.51,0.0214083909918693,"c0053",7,"5-9 trees",3490,88.7963914804711
138.5,155.5,"PIPO",18.796,0.027747301555379,"c0041",5,"5-9 trees",3493,109.270944796459
174.2,156,"PIPU",16.256,0.0207547383438335,"d0010",15,"10-15 trees",3501,86.6207430682866
70.5,156.1,"PSME",17.018,0.0227460987366867,"e0001",20,"16-25 trees",3503,93.2080947894287
89.8,156.1,"POTR",22.352,0.0392394271813102,"c0076",5,"5-9 trees",3505,144.180398665019
107.3,156.1,"PSME",20.828,0.0340710108945157,"b0164",4,"2-4 trees",3506,128.776349701634
182.6,156.2,"PIEN",22.606,0.0401362994193128,"d0010",15,"10-15 trees",3512,146.810783773453
19.1,156.3,"POTR",13.716,0.014775590090483,"b0126",3,"2-4 trees",3513,66.0030435502607
35.4,156.5,"PIEN",7.874,0.00486945887412695,"c0073",5,"5-9 trees",3515,27.1589300622175
174.5,156.6,"PSME",13.716,0.014775590090483,"d0010",15,"10-15 trees",3519,66.0030435502607
71.4,156.7,"POTR",5.08,0.00202682991638999,"e0001",20,"16-25 trees",3521,13.4704448961551
179.6,156.7,"PIFL2",8.636,0.00585753845836707,"d0010",15,"10-15 trees",3522,31.4847474378953
116.8,156.8,"PSME",18.288,0.0262677157164143,"e0007",23,"16-25 trees",3524,104.584166814162
198.5,156.8,"POTR",15.24,0.0182414692475099,"a0190",1,"single",3525,78.1224666314692
58.7,157.2,"PSME",9.906,0.00770702075707294,"a0184",1,"single",3531,39.2136544780448
19.9,157.4,"PSME",25.4,0.0506707479097498,"b0126",3,"2-4 trees",3534,176.902490287201
138.4,157.4,"PIEN",22.86,0.0410433058068973,"c0041",5,"5-9 trees",3536,149.458961986645
164.2,157.4,"PSME",17.78,0.0248286664757774,"c0056",6,"5-9 trees",3538,99.9748613751942
73,157.5,"POTR",19.812,0.0308280830282918,"e0001",20,"16-25 trees",3539,118.873571451574
162.2,157.5,"PSME",13.97,0.0153279012426993,"c0056",6,"5-9 trees",3541,67.9695273295393
139.5,157.7,"PIPO",31.75,0.079173043608984,"c0041",5,"5-9 trees",3543,252.807507833943
159.3,158,"PSME",25.908,0.0527178461253037,"c0056",6,"5-9 trees",3547,182.597245308451
147.4,158.4,"PIEN",3.302,0.000856335639674771,"c0053",7,"5-9 trees",3550,6.76150401542223
166.4,158.4,"PIPO",36.576,0.105070862865657,"c0056",6,"5-9 trees",3551,317.039908469824
185.2,158.7,"PSME",9.906,0.00770702075707294,"d0010",15,"10-15 trees",3555,39.2136544780448
