"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
110.3,159.3,"PIPO",42.672,0.143013118900478,"b0137",4,"2-4 trees",3567,405.722223917942
89.9,159.5,"PIPO",23.368,0.0428877210308122,"b0100",2,"2-4 trees",3571,154.80838156037
108.7,159.7,"PIEN",1.524,0.000182414692475099,"b0137",4,"2-4 trees",3575,1.96234763927647
108.7,159.8,"PSME",33.02,0.0856335639674771,"b0137",4,"2-4 trees",3577,269.180323226586
146.9,159.8,"PIPO",29.21,0.0670120641106441,"a0243",1,"single",3578,221.233296775782
74.8,160,"PIPU",1.524,0.000182414692475099,"b0129",3,"2-4 trees",3579,1.96234763927647
169.6,160,"PIPU",3.556,0.000993146659031096,"e0001",18,"16-25 trees",3581,7.61270154517849
71,160.1,"PIEN",19.304,0.0292674239926715,"b0129",3,"2-4 trees",3583,114.034350743377
168.9,160.4,"PSME",36.068,0.102172496085219,"e0001",18,"16-25 trees",3597,310.023987345735
90,160.5,"PIPU",22.606,0.0401362994193128,"b0100",2,"2-4 trees",3600,146.810783773453
118.7,161.1,"PSME",2.286,0.000410433058068973,"b0082",3,"2-4 trees",3606,3.75423938681759
72.5,162.1,"PSME",39.37,0.121736471853174,"b0129",3,"2-4 trees",3623,356.668424731358
118,162.1,"POTR",15.494,0.0188545852972179,"b0082",3,"2-4 trees",3625,80.2161257237514
164.6,162.2,"PIEN",10.16,0.00810731966555996,"e0001",18,"16-25 trees",3627,40.8347529747354
194.6,162.4,"PIEN",33.02,0.0856335639674771,"b0094",3,"2-4 trees",3629,269.180323226586
195.4,162.5,"POTR",14.478,0.0164629259958777,"b0094",3,"2-4 trees",3630,71.9670524479585
193.8,162.7,"POTR",22.098,0.0383526890928896,"b0094",3,"2-4 trees",3631,141.567887267438
168,162.8,"POTR",17.526,0.0241243430798319,"e0001",18,"16-25 trees",3635,97.6995338905438
12.8,163.7,"PIEN",7.366,0.00426140989920996,"d0004",11,"10-15 trees",3646,24.4101665849469
17.1,164,"PIEN",23.368,0.0428877210308122,"d0004",11,"10-15 trees",3653,154.80838156037
166,164.4,"PIEN",25.654,0.0516892299427357,"e0001",18,"16-25 trees",3660,179.741410169007
62.4,164.6,"POTR",24.892,0.0486641862925237,"b0063",2,"2-4 trees",3662,171.275667090396
115.6,164.6,"PIPO",42.672,0.143013118900478,"b0082",3,"2-4 trees",3663,405.722223917942
135.9,164.7,"PIPU",14.478,0.0164629259958777,"a0231",1,"single",3666,71.9670524479585
124.3,165.2,"PIEN",1.778,0.000248286664757774,"b0081",4,"2-4 trees",3670,2.51125497780401
12.2,165.7,"PIEN",7.62,0.00456036731187748,"d0004",11,"10-15 trees",3675,25.7708031823288
62.1,165.9,"PIFL2",5.08,0.00202682991638999,"b0063",2,"2-4 trees",3678,13.4704448961551
122.6,166.4,"POTR",23.114,0.0419604463440638,"b0081",4,"2-4 trees",3685,152.124853956649
125.5,166.4,"PSME",30.48,0.0729658769900397,"b0081",4,"2-4 trees",3686,236.823033779947
142.5,167,"POTR",18.796,0.027747301555379,"a0321",1,"single",3692,109.270944796459
19.5,167.4,"PIFL2",2.54,0.000506707479097498,"d0004",11,"10-15 trees",3697,4.44358965052675
174.5,167.9,"PSME",26.416,0.0548054809391854,"a0240",1,"single",3711,188.359396139355
120.9,168.5,"PIEN",2.54,0.000506707479097498,"b0081",4,"2-4 trees",3721,4.44358965052675
87.6,168.6,"POTR",16.256,0.0207547383438335,"a0238",1,"single",3724,86.6207430682866
182.4,168.6,"PIEN",4.572,0.00164173223227589,"b0051",4,"2-4 trees",3725,11.3807256664905
108.5,168.7,"POTR",14.224,0.0158903465444975,"b0106",4,"2-4 trees",3726,69.9575819362394
17.1,168.8,"PIPO",13.97,0.0153279012426993,"d0004",11,"10-15 trees",3727,67.9695273295393
14.5,169.2,"POTR",17.526,0.0241243430798319,"d0004",11,"10-15 trees",3733,97.6995338905438
50.1,169.4,"PIFL2",24.638,0.0476761067082836,"a0147",1,"single",3739,168.487901573462
108.3,169.7,"PIEN",4.572,0.00164173223227589,"b0106",4,"2-4 trees",3744,11.3807256664905
18.8,170.2,"PIEN",4.826,0.00182921399954197,"d0004",11,"10-15 trees",3748,12.4090835343443
180.2,170.2,"POTR",14.224,0.0158903465444975,"b0051",4,"2-4 trees",3750,69.9575819362394
181.7,170.4,"PIPO",27.94,0.0613116049707972,"b0051",4,"2-4 trees",3751,206.045077182528
152.7,170.8,"PIEN",24.384,0.0466981612736254,"a0241",1,"single",3759,165.717326957557
